ORF,Gene,STD.MeanNormalized
YOR164C,GET4,1.99883378711022
YNL145W,MFA2,1.52076035260161
YGR088W,NA,1.32958146874934
YNR034W-A,YNR034W-A,1.32735957025781
YHL034C,SBP1,1.31608615369268
YGR180C,RNR4,1.25967690152973
YFL014W,HSP12,1.2409329286507
YPL223C,GRE1,1.11657585337179
YJL136C,RPS21B,1.05306554699841
YMR105C,PGM2,1.03456364182044
YDL182W,LYS20,1.015638522908
YMR173W,DDR48,0.984543576130396
YHL039W,YHL039W,0.976333798747916
YML128C,MSC1,0.971249173993993
YPR160W,GPH1,0.931211052519028
